time,spco2
2024-08-19,33.353756
2024-08-20,33.250324
2024-08-21,33.34198
2024-08-22,33.42658
2024-08-23,33.498386
2024-08-24,33.588776
2024-08-25,33.644936
2024-08-26,33.76982
2024-08-27,33.926983
2024-08-28,34.13451
2024-08-29,34.3105
2024-08-30,34.336353
2024-08-31,34.287952
2024-09-01,34.242947
2024-09-02,34.33315
2024-09-03,34.39083
2024-09-04,34.367565
2024-09-05,34.329388
2024-09-06,34.25274
2024-09-07,34.284885
2024-09-08,34.416946
2024-09-09,34.473713
2024-09-10,34.353306
2024-09-11,34.265354
2024-09-12,34.41732
2024-09-13,34.62744
2024-09-14,34.692913
2024-09-15,34.6968
2024-09-16,34.740303
2024-09-17,34.877014
2024-09-18,34.89287
2024-09-19,34.789066
2024-09-20,34.725544
2024-09-21,34.68171
2024-09-22,34.713276
2024-09-23,34.794468
2024-09-24,34.809296
2024-09-25,34.80977
2024-09-26,34.84646
2024-09-27,34.781303
2024-09-28,34.626465
2024-09-29,34.614475
2024-09-30,34.720592
2024-10-01,34.771347
2024-10-02,34.677425
2024-10-03,34.494747
2024-10-04,34.448654
2024-10-05,34.67682
2024-10-06,34.96336
2024-10-07,35.136425
2024-10-08,35.1383
2024-10-09,35.029087
2024-10-10,35.026093
2024-10-11,35.07689
