depth,time,nppv,o2
0.49402538,2023-03-10,2.2582476,222.25117
0.49402538,2023-03-11,2.300389,222.14758
0.49402538,2023-03-12,2.3041968,221.95105
0.49402538,2023-03-13,2.2733083,221.91205
0.49402538,2023-03-14,2.3684292,222.00656
0.49402538,2023-03-15,2.3977242,222.03181
0.49402538,2023-03-16,2.1826851,221.78821
0.49402538,2023-03-17,2.5641222,221.7573
0.49402538,2023-03-18,2.3768368,221.79462
0.49402538,2023-03-19,2.2346458,221.85954
0.49402538,2023-03-20,2.1314464,221.84578
0.49402538,2023-03-21,2.138271,221.7344
0.49402538,2023-03-22,2.1419578,221.5804
0.49402538,2023-03-23,2.1886935,221.43488
0.49402538,2023-03-24,2.1181152,221.3314
0.49402538,2023-03-25,2.137663,221.09825
0.49402538,2023-03-26,2.3845768,221.05399
0.49402538,2023-03-27,2.3839302,221.03604
0.49402538,2023-03-28,2.2439585,221.13168
0.49402538,2023-03-29,2.1418426,221.258
0.49402538,2023-03-30,2.077876,221.30176
0.49402538,2023-03-31,2.261314,221.31262
0.49402538,2023-04-01,2.2415617,221.31192
0.49402538,2023-04-02,2.1447458,221.28973
0.49402538,2023-04-03,2.2417274,221.3521
0.49402538,2023-04-04,2.289804,221.5492
0.49402538,2023-04-05,2.2320333,221.81116
0.49402538,2023-04-06,2.1118593,222.02817
0.49402538,2023-04-07,2.140148,222.13388
0.49402538,2023-04-08,2.2931879,222.27089
0.49402538,2023-04-09,2.144659,222.40762
0.49402538,2023-04-10,2.2822065,222.62115
0.49402538,2023-04-11,2.1820626,222.90643
0.49402538,2023-04-12,2.1473985,223.15843
0.49402538,2023-04-13,2.3182802,223.62415
0.49402538,2023-04-14,2.35845,224.54086
0.49402538,2023-04-15,2.0151825,225.3339
0.49402538,2023-04-16,1.8401718,225.78046
0.49402538,2023-04-17,1.8362601,226.08473
0.49402538,2023-04-18,1.956228,226.35986
0.49402538,2023-04-19,1.8368921,226.58527
0.49402538,2023-04-20,1.817946,226.40637
0.49402538,2023-04-21,1.8532981,225.92749
0.49402538,2023-04-22,1.924881,225.3851
0.49402538,2023-04-23,1.7749972,224.78275
0.49402538,2023-04-24,1.648861,224.68668
0.49402538,2023-04-25,2.0606618,225.26804
0.49402538,2023-04-26,2.6563077,226.16792
0.49402538,2023-04-27,2.3239207,227.13965
0.49402538,2023-04-28,2.2028966,227.93015
0.49402538,2023-04-29,2.0748794,228.48541
0.49402538,2023-04-30,2.0459557,228.92859
0.49402538,2023-05-01,2.0260475,229.28972
0.49402538,2023-05-02,2.093508,229.58621
0.49402538,2023-05-03,2.053794,229.59637
0.49402538,2023-05-04,2.1590996,229.40631
0.49402538,2023-05-05,2.235872,229.54262
0.49402538,2023-05-06,2.024926,229.41815
0.49402538,2023-05-07,2.8543172,229.02957
0.49402538,2023-05-08,3.2890248,228.59567
0.49402538,2023-05-09,3.166986,228.26079
0.49402538,2023-05-10,3.211495,228.43138
0.49402538,2023-05-11,3.1821785,228.77972
0.49402538,2023-05-12,3.286732,228.77621
0.49402538,2023-05-13,3.2276924,228.87967
0.49402538,2023-05-14,3.0872777,228.95065
0.49402538,2023-05-15,3.0957756,228.89084
0.49402538,2023-05-16,3.076118,228.75058
0.49402538,2023-05-17,3.1025703,228.55632
0.49402538,2023-05-18,3.3880715,228.27434
0.49402538,2023-05-19,3.632964,228.03845
0.49402538,2023-05-20,3.7284362,227.94121
0.49402538,2023-05-21,3.9890878,228.0336
0.49402538,2023-05-22,4.176587,228.01471
0.49402538,2023-05-23,4.3873405,228.05902
0.49402538,2023-05-24,4.9385557,228.49315
0.49402538,2023-05-25,4.9543996,229.1885
0.49402538,2023-05-26,4.810544,229.69788
0.49402538,2023-05-27,4.709022,229.76642
0.49402538,2023-05-28,4.696987,229.4258
0.49402538,2023-05-29,4.3791704,229.13577
0.49402538,2023-05-30,5.305632,229.10559
0.49402538,2023-05-31,5.761423,229.08008
0.49402538,2023-06-01,6.6843925,229.02133
0.49402538,2023-06-02,6.596834,229.38466
0.49402538,2023-06-03,6.664029,229.70569
0.49402538,2023-06-04,5.9342184,230.00453
0.49402538,2023-06-05,5.989499,230.29068
0.49402538,2023-06-06,7.896677,230.92613
0.49402538,2023-06-07,7.634696,231.87369
0.49402538,2023-06-08,8.080359,232.35153
0.49402538,2023-06-09,8.091379,232.3375
0.49402538,2023-06-10,8.487906,232.54353
0.49402538,2023-06-11,9.303358,233.4917
0.49402538,2023-06-12,8.709375,234.41785
0.49402538,2023-06-13,9.283346,235.00581
0.49402538,2023-06-14,9.290552,235.48509
0.49402538,2023-06-15,9.35602,236.12085
0.49402538,2023-06-16,9.492704,236.79352
