SITECODE,LOCATION,JULIANDATE,DATE,X (EPSG32750),Y (EPSG32750),LAT (EPSG7844),LON (EPSG7844),TEMPERATURE (C),SALINITY (pss),DENSITY (kgm-3),DEPTH (m),CONDUCTIVITY (sm),VELOCITY (ms-1)
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0321,34.5492,23.8679,2.7535,4.9417,1.4012
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0295,34.5552,23.8730,2.7815,4.9422,1.4060
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0283,34.5622,23.8787,2.8097,4.9430,1.4119
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0291,34.5666,23.8819,2.8379,4.9436,1.4202
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0271,34.5679,23.8835,2.8665,4.9436,1.4298
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0212,34.5722,23.8884,2.8952,4.9435,1.4380
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0167,34.5785,23.8943,2.9240,4.9439,1.4453
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0142,34.5810,23.8970,2.9530,4.9439,1.4531
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0110,34.5806,23.8976,2.9822,4.9436,1.4594
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0069,34.5823,23.9000,3.0115,4.9434,1.4611
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0045,34.5854,23.9030,3.0407,4.9435,1.4595
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0057,34.5865,23.9036,3.0698,4.9438,1.4585
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0064,34.5874,23.9041,3.0990,4.9440,1.4592
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0032,34.5890,23.9061,3.1281,4.9439,1.4627
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0011,34.5891,23.9067,3.1574,4.9437,1.4694
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0031,34.5880,23.9053,3.1869,4.9437,1.4761
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,22.0026,34.5894,23.9067,3.2165,4.9438,1.4814
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9981,34.5932,23.9109,3.2462,4.9439,1.4873
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9974,34.5943,23.9117,3.2759,4.9439,1.4955
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9994,34.5933,23.9105,3.3060,4.9440,1.5037
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9977,34.5951,23.9124,3.3362,4.9441,1.5084
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9960,34.5965,23.9138,3.3664,4.9441,1.5095
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9973,34.5952,23.9126,3.3966,4.9441,1.5094
oa10,EPA COCKBURN S,     92087,19920327 00:00:00,380188.0000,452677.0000,-32.055768,115.730836,21.9975,34.5951,23.9124,3.4268,4.9441,1.5097
