time,latitude,longitude,npp,zooc
1998-12-04,-31.75,115.66667,1715.083,0.8958664
1998-12-05,-31.75,115.66667,1671.7949,0.76582336
1998-12-06,-31.75,115.66667,2035.2285,1.4882889
1998-12-07,-31.75,115.66667,2526.2114,1.4449387
1998-12-08,-31.75,115.66667,1181.9697,3.144188
1998-12-09,-31.75,115.66667,2099.8135,1.060585
1998-12-10,-31.75,115.66667,2044.0254,0.67045593
1998-12-11,-31.75,115.66667,1597.0249,1.1386185
1998-12-12,-31.75,115.66667,1607.9048,0.9652252
1998-12-13,-31.75,115.66667,1557.9038,0.5895386
1998-12-14,-31.75,115.66667,1653.0444,0.791832
1998-12-15,-31.75,115.66667,825.94385,0.7629318
1998-12-16,-31.75,115.66667,1875.04,1.0981598
1998-12-17,-31.75,115.66667,1897.0312,1.2339783
1998-12-18,-31.75,115.66667,1474.1055,1.1993027
1998-12-19,-31.75,115.66667,1473.874,1.3929214
1998-12-20,-31.75,115.66667,1707.9067,1.1732941
1998-12-21,-31.75,115.66667,1234.98,0.6762314
1998-12-22,-31.75,115.66667,1237.0635,0.26298523
1998-12-23,-31.75,115.66667,766.91455,0.7109146
1998-12-24,-31.75,115.66667,865.06494,0.92765045
1998-12-25,-31.75,115.66667,1336.1396,1.1617355
1998-12-26,-31.75,115.66667,1175.0254,1.3004456
1998-12-27,-31.75,115.66667,1414.1509,1.1299438
1998-12-28,-31.75,115.66667,1554.1997,0.94499207
1998-12-29,-31.75,115.66667,1634.063,0.6097641
1998-12-30,-31.75,115.66667,1209.0537,0.33522797
1998-12-31,-31.75,115.66667,1239.147,0.14450073
1999-01-01,-31.75,115.66667,1250.0269,1.0548096
1999-01-02,-31.75,115.66667,1250.0269,1.274437
1999-01-03,-31.75,115.66667,1765.7783,1.1472855
1999-01-04,-31.75,115.66667,923.8623,1.4362717
1999-01-05,-31.75,115.66667,705.1079,1.3322372
1999-01-06,-31.75,115.66667,1562.0703,0.95944214
1999-01-07,-31.75,115.66667,1894.9478,0.57219696
1999-01-08,-31.75,115.66667,1350.9551,0.4045868
1999-01-09,-31.75,115.66667,1325.0283,0.26876068
1999-01-10,-31.75,115.66667,1844.021,1.051918
1999-01-11,-31.75,115.66667,1845.1782,1.3293457
1999-01-12,-31.75,115.66667,1640.0815,0.8900833
1999-01-13,-31.75,115.66667,1537.0698,0.7340317
1999-01-14,-31.75,115.66667,1177.1084,1.0577011
1999-01-15,-31.75,115.66667,1590.7749,1.4651718
1999-01-16,-31.75,115.66667,1932.9116,1.2253113
1999-01-17,-31.75,115.66667,1574.1079,1.2339783
1999-01-18,-31.75,115.66667,2118.7954,0.913208
1999-01-19,-31.75,115.66667,1744.019,0.58664703
1999-01-20,-31.75,115.66667,1366.2329,0.5172882
1999-01-21,-31.75,115.66667,1599.1084,1.4102631
1999-01-22,-31.75,115.66667,1579.2007,1.2715454
1999-01-23,-31.75,115.66667,1273.8701,1.2253113
1999-01-24,-31.75,115.66667,1140.0708,1.3640213
1999-01-25,-31.75,115.66667,1140.0708,1.0259094
1999-01-26,-31.75,115.66667,2002.8208,0.50284576
1999-01-27,-31.75,115.66667,2040.0898,1.0981598
1999-01-28,-31.75,115.66667,1422.021,0.3207779
1999-01-29,-31.75,115.66667,1165.9971,0.74269867
1999-01-30,-31.75,115.66667,1390.0762,0.8380661
1999-01-31,-31.75,115.66667,1384.0576,0.92765045
1999-02-01,-31.75,115.66667,1181.9697,1.1097183
1999-02-02,-31.75,115.66667,1247.0176,0.8178406
1999-02-03,-31.75,115.66667,1773.8804,1.1443939
1999-02-04,-31.75,115.66667,1775.7324,1.2542114
1999-02-05,-31.75,115.66667,1848.8823,1.2339783
1999-02-06,-31.75,115.66667,1580.1265,0.6444473
1999-02-07,-31.75,115.66667,1919.0225,0.6415558
1999-02-08,-31.75,115.66667,1419.0117,2.213646
1999-02-09,-31.75,115.66667,1160.9043,0.35546112
1999-02-10,-31.75,115.66667,1634.9888,0.91031647
1999-02-11,-31.75,115.66667,1649.8037,0.9363251
1999-02-12,-31.75,115.66667,1794.9458,0.8814163
1999-02-13,-31.75,115.66667,997.938,1.0548096
1999-02-14,-31.75,115.66667,1805.8257,0.9045334
1999-02-15,-31.75,115.66667,1566.9316,0.5664215
1999-02-16,-31.75,115.66667,2105.832,0.3294525
1999-02-17,-31.75,115.66667,1662.9985,0.6271057
1999-02-18,-31.75,115.66667,1914.1611,0.6733475
1999-02-19,-31.75,115.66667,1754.8984,0.7253647
1999-02-20,-31.75,115.66667,1816.937,1.167511
1999-02-21,-31.75,115.66667,1738.0,0.95077515
1999-02-22,-31.75,115.66667,1738.0,0.90164185
1999-02-23,-31.75,115.66667,1637.998,0.63578033
1999-02-24,-31.75,115.66667,1196.0903,0.3699112
1999-02-25,-31.75,115.66667,895.1582,0.23119354
1999-02-26,-31.75,115.66667,992.1509,0.3294525
1999-02-27,-31.75,115.66667,2719.0396,0.63866425
1999-02-28,-31.75,115.66667,2999.8325,0.41325378
1999-03-01,-31.75,115.66667,1239.8413,0.47683716
1999-03-02,-31.75,115.66667,2306.9937,0.6328888
1999-03-03,-31.75,115.66667,2323.1978,0.7773819
1999-03-04,-31.75,115.66667,1689.8511,0.8120575
1999-03-05,-31.75,115.66667,1671.7949,0.82650757
1999-03-06,-31.75,115.66667,1497.2544,0.6415558
